Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Abbreviation,Sum_Total_Injuries,Safety_Score,US_State
20030829X01432,Accident,2003-08-07,"ORLANDO, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030911X01514,Accident,2003-08-13,"LA BELLE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030910X01503,Accident,2003-08-30,"OCALA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030909X01493,Accident,2003-09-03,"JAY, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Public Aircraft,0.0,2.0,0.0,1.0,VMC,FL,2.0,6.0,Florida
20031203X01987,Accident,2003-10-08,"BARTOW, FL",United States,Non-Fatal,Substantial,Airplane,American general aircraft,AA-1,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20031215X02035,Accident,2003-10-12,"ARCHER, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-260B,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,FL,0.0,0.0,Florida
20031203X01985,Accident,2003-10-15,"FORT MYERS, FL",United States,Non-Fatal,Substantial,Airplane,William f. lair,RV-6A,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20031203X01986,Accident,2003-10-19,"EVERGLADES CITY, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20031114X01908,Accident,2003-10-19,"EVERGLADES CITY, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20031120X01932,Accident,2003-10-21,"MELBOURNE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20031114X01909,Accident,2003-10-22,"PIERSON, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,2.0,1.0,VMC,FL,2.0,2.0,Florida
20031216X02043,Accident,2003-11-15,"ORMOND BEACH, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20031216X02046,Accident,2003-11-21,"ORLANDO, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20031231X02108,Accident,2003-12-17,"MARATHON, FL",United States,Non-Fatal,Substantial,Airplane,Waco,4MF 5,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20040218X00199,Accident,2004-01-03,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Maule,M-7-235B,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20040206X00169,Accident,2004-01-14,"FORT MEADE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,FL,0.0,0.0,Florida
20040303X00258,Accident,2004-02-11,"SEBRING, FL",United States,Non-Fatal,Substantial,Airplane,American champion (acac),7GCAA,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20040330X00389,Accident,2004-03-03,"PARKLAND, FL",United States,Non-Fatal,Substantial,Airplane,Aviat,Pitts S2B,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20040325X00374,Accident,2004-03-15,"SPRING HILL, FL",United States,Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,IMC,FL,1.0,6.0,Florida
20040510X00580,Accident,2004-04-17,"KEY WEST, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,FL,0.0,0.0,Florida
20040602X00713,Accident,2004-05-04,"ODESSA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,FL,0.0,0.0,Florida
20040603X00725,Accident,2004-05-06,"FORT PIERCE, FL",United States,Non-Fatal,Substantial,Airplane,Beech,H35,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20040604X00736,Accident,2004-05-17,"PEMBROKE PINES, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20040729X01100,Accident,2004-06-07,"LAKE WALES, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20040729X01099,Accident,2004-06-08,"LA BELLE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,182H,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,4.0,VMC,FL,0.0,0.0,Florida
20040825X01280,Accident,2004-06-30,"WILLISTON, FL",United States,Non-Fatal,Substantial,Airplane,William k. crawford,Tango 2,1.0,Reciprocating,Flight Test,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
